,Year,week,Vendor_x,CLAIM_ID,Claim Name,sales_dollars_value,sales_units_value,sales_lbs_value,sales_unit_value,Competitors,Competitors_unit_price,Competitors_sales_dollars,Competitors_units_value,searchVolume,total_post
119,2016,5,A,58,buckwheat,885499.0,159153,121662,5.563822233950978,"D,B,Others",5.587717463544314,5717129.0,1023160.0,0.0,0.0
120,2016,5,A,73,brown ale,930.0,86,134,10.813953488372093,"Others,H",4.363832690952174,290976.0,66679.0,0.0,0.0
121,2016,5,A,75,french bisque,119116.0,79006,14778,1.5076829607877882,"D,B,Others",3.177282194002617,861949.0,271285.0,12669.0,289.0
122,2016,5,A,81,gmo free,135518.0,44853,99360,3.02138095556596,"Others,B,F",13.491516190860485,19392503.0,1437385.0,7002.0,202.0
123,2016,5,A,120,crab,18382.0,1240,3753,14.824193548387097,"Others,F",22.950711415803642,3461564.0,150826.0,1205.0,12.0
124,2016,5,A,147,american gumbo,1313.0,157,357,8.363057324840764,"Others,Private Label,H,F",4.651141694219315,389668.0,83779.0,0.0,507.0
125,2016,5,A,151,low sodium,206007.0,11528,111460,17.870142262317835,"Others,B,F",14.779272753352936,2060674.0,139430.0,21294.0,132.0
126,2016,5,A,152,low sugar,17706.0,10446,1371,1.695002871912694,"Others,Private Label,H",7.975511695906433,174568.0,21888.0,30233.0,142.0
127,2016,5,A,158,chicken,308660.0,34971,134324,8.826170255354436,Others,6.645655214714749,888451.0,133689.0,96826.0,388.0
128,2016,5,A,185,cookie,3618097.0,228798,2609051,15.81349924387451,"D,B",14.737208687829735,14891522.0,1010471.0,0.0,0.0
129,2016,5,A,186,pollock,4614230.0,282353,3194693,16.342061178737254,"D,B,Others",17.59932786222249,24586877.0,1397035.0,0.0,0.0
130,2016,5,A,187,blueberry,2100780.0,84769,1511454,24.782408663544455,Others,26.480909918865667,8897215.0,335986.0,21868.0,229.0
131,2016,5,A,193,poultry,67022.0,3318,28086,20.199517781796263,Others,18.59020365776265,322224.0,17333.0,0.0,6.0
132,2016,5,A,220,herbs,1104647.0,31214,925812,35.38947267251874,Others,19.774535725527226,628237.0,31770.0,0.0,28.0
133,2016,5,A,222,pizza,3618097.0,228798,2609051,15.81349924387451,"D,B",14.737208687829735,14891522.0,1010471.0,0.0,0.0
134,2016,5,A,224,american southwest style,2100780.0,84769,1511454,24.782408663544455,Others,26.480909918865667,8897215.0,335986.0,0.0,0.0
135,2016,5,A,227,salmon,7433237.0,745221,5217845,9.974540438339767,,0.0,0.0,0.0,850.0,47.0
136,2016,5,A,228,beef hamburger,956.0,43,43,22.232558139534884,Others,12.412580317889754,36704.0,2957.0,9844.0,75.0
137,2016,5,A,287,tilapia,121262.0,26990,48792,4.49284920340867,,0.0,0.0,0.0,0.0,0.0
138,2016,5,A,430,soy foods,6548513.0,1545733,5480365,4.236509798263995,,0.0,0.0,0.0,2580.0,103.0
139,2016,5,A,432,apple cinnamon,6122276.0,582460,3794592,10.511066854376265,"Others,D,B,F",9.788323128529475,33744226.0,3447396.0,0.0,0.0
140,2016,5,A,433,gingerbread,25657.0,1625,16781,15.788923076923076,"Others,H,B,F",6.947589083907693,995923.0,143348.0,0.0,258.0
141,2016,5,A,438,ethnic & exotic,2894157.0,117271,1989597,24.67922163194652,"Others,B,F",19.67947266738725,9249116.0,469988.0,91769.0,1144.0
142,2016,6,A,0,No Claim,131429727.0,55227155,135219559,2.3798025989207665,,0.0,0.0,0.0,0.0,0.0
143,2016,6,A,8,low carb,9428160.0,2131596,3177560,4.423052022991223,"Others,D,F",8.727108530538356,63867354.0,7318272.0,64725.0,2005.0
144,2016,6,A,15,beans,12049.0,800,4402,15.06125,"D,Others",16.88913110381617,658541.0,38992.0,0.0,36.0
145,2016,6,A,32,stroganoff,7937960.0,1291661,3938989,6.145544380452766,"Others,D,B,F",10.526073500514395,49469335.0,4699695.0,0.0,0.0
146,2016,6,A,39,high/source of protein,78347.0,19546,24862,4.008339302159009,Others,27.425028520410695,552916.0,20161.0,544.0,27.0
147,2016,6,A,40,no additives/preservatives,8275068.0,1259608,3303236,6.569558148249296,"Others,D,B,F",10.836961271187532,63119610.0,5824475.0,0.0,92.0
148,2016,6,A,58,buckwheat,905194.0,165143,125162,5.481273805126466,"D,B,Others",5.601431147331507,5917884.0,1056495.0,0.0,0.0
149,2016,6,A,73,brown ale,1984.0,185,289,10.724324324324325,"Others,H",4.582499514953297,330664.0,72158.0,0.0,0.0
150,2016,6,A,75,french bisque,89518.0,59586,12675,1.5023327627295002,"D,B,Others",3.3369003599676765,953883.0,285859.0,9300.0,255.0
151,2016,6,A,81,gmo free,128788.0,40700,92107,3.1643243243243244,"Others,B,F",13.363229235871666,20335454.0,1521747.0,9694.0,370.0
152,2016,6,A,120,crab,19072.0,1267,3845,15.052880820836622,"Others,F",21.93519091970177,3683445.0,167924.0,1446.0,42.0
153,2016,6,A,147,american gumbo,1941.0,275,477,7.058181818181819,"Others,Private Label,H,F",4.714666046619776,405532.0,86015.0,0.0,447.0
154,2016,6,A,151,low sodium,211082.0,11187,110483,18.868508089747028,"Others,B,F",15.986510041682456,2320362.0,145145.0,19266.0,219.0
155,2016,6,A,152,low sugar,19550.0,11594,1522,1.686217008797654,"Others,Private Label,H",7.435450493473416,186838.0,25128.0,22380.0,117.0
156,2016,6,A,158,chicken,317235.0,35428,140118,8.954358134808626,Others,6.712856999026748,1000115.0,148985.0,72724.0,1109.0
157,2016,6,A,185,cookie,3655827.0,225143,2654608,16.237799976015243,"D,B",14.838358925558195,14781988.0,996201.0,0.0,0.0
158,2016,6,A,186,pollock,4671447.0,281117,3247914,16.617447539636522,"D,B,Others",17.78463671891415,25393260.0,1427820.0,0.0,0.0
159,2016,6,A,187,blueberry,2197226.0,89346,1586442,24.592326461173414,Others,25.832743999915305,9760334.0,377828.0,22907.0,404.0
160,2016,6,A,193,poultry,72031.0,3562,29982,20.22206625491297,Others,18.133303117288612,360073.0,19857.0,0.0,4.0
161,2016,6,A,220,herbs,1181606.0,33372,993136,35.4071077550042,Others,19.195854529711006,709402.0,36956.0,0.0,22.0
162,2016,6,A,222,pizza,3655827.0,225143,2654608,16.237799976015243,"D,B",14.838358925558195,14781988.0,996201.0,0.0,0.0
163,2016,6,A,224,american southwest style,2197226.0,89346,1586442,24.592326461173414,Others,25.832743999915305,9760334.0,377828.0,0.0,0.0
164,2016,6,A,227,salmon,7098139.0,710099,4952568,9.995985066870958,,0.0,0.0,0.0,4038.0,117.0
165,2016,6,A,228,beef hamburger,713.0,49,32,14.551020408163266,Others,14.004994648590795,39256.0,2803.0,11156.0,68.0
166,2016,6,A,287,tilapia,135523.0,26842,56715,5.048915878101483,,0.0,0.0,0.0,0.0,0.0
167,2016,6,A,430,soy foods,6585758.0,1574128,5502513,4.1837499872945525,,0.0,0.0,0.0,2580.0,27.0
168,2016,6,A,432,apple cinnamon,6322086.0,612923,3890148,10.314649637882736,"Others,D,B,F",9.975939073074196,35699716.0,3578582.0,0.0,0.0
169,2016,6,A,433,gingerbread,24665.0,1572,16005,15.690203562340967,"Others,H,B,F",7.357484361199717,1007968.0,136999.0,0.0,376.0
170,2016,6,A,438,ethnic & exotic,2947675.0,119410,2021313,24.685327861988107,"Others,B,F",20.210909665555683,9847887.0,487256.0,91388.0,3288.0
171,2016,7,A,0,No Claim,127334920.0,54250806,130120220,2.3471525934563995,,0.0,0.0,0.0,0.0,0.0
172,2016,7,A,8,low carb,9358558.0,2099250,3157427,4.4580483506014055,"Others,D,F",8.735734032252541,63524502.0,7271799.0,62438.0,1388.0
173,2016,7,A,15,beans,11840.0,784,4314,15.10204081632653,"D,Others",17.44149429610129,695654.0,39885.0,0.0,24.0
174,2016,7,A,32,stroganoff,7903375.0,1313043,3896906,6.019128848027064,"Others,D,B,F",10.567711699821643,49195435.0,4655259.0,0.0,0.0
175,2016,7,A,39,high/source of protein,69429.0,19573,22699,3.547182343023553,Others,27.686162624821684,543424.0,19628.0,904.0,13.0
176,2016,7,A,40,no additives/preservatives,8221500.0,1249214,3288132,6.581338345551683,"Others,D,B,F",10.925356060828436,62901350.0,5757373.0,0.0,42.0
177,2016,7,A,58,buckwheat,912724.0,164831,125940,5.5373321765929955,"D,B,Others",5.518113681911346,5820716.0,1054838.0,0.0,0.0
178,2016,7,A,73,brown ale,2963.0,272,425,10.893382352941176,"Others,H",4.079099743215346,324060.0,79444.0,0.0,0.0
179,2016,7,A,75,french bisque,42110.0,27895,8023,1.5095895321742248,"D,B,Others",3.1276132171309414,935932.0,299248.0,8222.0,328.0
180,2016,7,A,81,gmo free,129857.0,38259,90920,3.394155623513422,"Others,B,F",13.59704319148011,20325608.0,1494855.0,12206.0,259.0
181,2016,7,A,120,crab,20042.0,1309,4048,15.3109243697479,"Others,F",21.83070199071995,3646273.0,167025.0,0.0,7.0
182,2016,7,A,147,american gumbo,2208.0,249,536,8.867469879518072,"Others,Private Label,H,F",4.696485252890341,405410.0,86322.0,0.0,466.0
183,2016,7,A,151,low sodium,200494.0,10920,106917,18.36025641025641,"Others,B,F",15.167184285104236,2344149.0,154554.0,17745.0,102.0
184,2016,7,A,152,low sugar,18457.0,10864,1426,1.6989138438880707,"Others,Private Label,H",7.227614031155441,193476.0,26769.0,13352.0,39.0
185,2016,7,A,158,chicken,307132.0,35498,136868,8.652093075666235,Others,6.839916592612289,977513.0,142913.0,107449.0,1143.0
186,2016,7,A,185,cookie,3851379.0,238069,2752482,16.17757456871747,"D,B",15.058938062084023,14532583.0,965047.0,0.0,0.0
187,2016,7,A,186,pollock,5018816.0,307395,3419848,16.326927894077652,"D,B,Others",17.978661075294664,25131795.0,1397868.0,0.0,0.0
188,2016,7,A,187,blueberry,2368899.0,104463,1675968,22.676919100542776,Others,25.765230747306166,9762987.0,378921.0,35401.0,220.0
189,2016,7,A,193,poultry,87130.0,5089,34739,17.121241894281784,Others,19.358485127968642,335831.0,17348.0,0.0,10.0
190,2016,7,A,220,herbs,1201462.0,35137,1008602,34.19364202976919,Others,19.425299919327557,746456.0,38427.0,0.0,14.0
191,2016,7,A,222,pizza,3851379.0,238069,2752482,16.17757456871747,"D,B",15.058938062084023,14532583.0,965047.0,0.0,0.0
192,2016,7,A,224,american southwest style,2368899.0,104463,1675968,22.676919100542776,Others,25.765230747306166,9762987.0,378921.0,0.0,0.0
193,2016,7,A,227,salmon,6826838.0,687313,4747996,9.932647862036657,,0.0,0.0,0.0,1063.0,156.0
194,2016,7,A,228,beef hamburger,404.0,35,18,11.542857142857143,Others,13.356524633821572,40123.0,3004.0,7000.0,59.0
195,2016,7,A,287,tilapia,147494.0,29316,65815,5.031177513985537,,0.0,0.0,0.0,0.0,0.0
